time_interval,requests,unique_ips,bot_ratio,bot_count,human_count,is_anomaly
2024-10-01 00:05:00,891,419,0.038159371492704826,34,857,True
2024-10-01 03:35:00,562,405,0.03914590747330961,22,540,True
2024-10-01 06:10:00,855,561,0.05847953216374269,50,805,True
2024-10-01 17:25:00,379738,15126,0.007784314448382832,2956,376782,True
2024-10-01 17:35:00,310852,14502,0.008042412466382716,2500,308352,True
2024-10-01 18:35:00,174613,14273,0.004907996540921925,857,173756,True
2024-10-01 18:50:00,170338,15416,0.004080123049466355,695,169643,True
2024-10-01 18:55:00,190715,15728,0.00339249665731589,647,190068,True
2024-10-01 19:05:00,244215,17654,0.00748111295374977,1827,242388,True
2024-10-02 00:55:00,1126,545,0.02486678507992895,28,1098,True
2024-10-02 17:00:00,158611,15622,0.006405608690443917,1016,157595,True
2024-10-02 17:35:00,226749,18593,0.00616981772797234,1399,225350,True
2024-10-02 18:05:00,227910,31352,0.002917818437102365,665,227245,True
2024-10-02 18:10:00,286027,31961,0.002083719369150465,596,285431,True
2024-10-02 18:15:00,157322,25584,0.0019005606336049631,299,157023,True
2024-10-02 18:20:00,167879,23359,0.004884470362582574,820,167059,True
2024-10-02 18:25:00,149542,23492,0.004212863275868986,630,148912,True
2024-10-02 18:30:00,168937,23181,0.0008050338291789247,136,168801,True
2024-10-02 18:40:00,176962,21346,0.0049558662311682735,877,176085,True
2024-10-02 18:45:00,332806,20539,0.005228271124919623,1740,331066,True
2024-10-02 18:50:00,160009,20262,0.006043410058184227,967,159042,True
2024-10-02 18:55:00,195568,19458,0.005547942403665221,1085,194483,True
2024-10-02 19:00:00,319680,20650,0.005668168168168168,1812,317868,True
2024-10-02 19:05:00,213001,21304,0.004835658048553763,1030,211971,True
2024-10-02 19:25:00,166090,16671,0.0028839785658377986,479,165611,True
2024-10-02 21:00:00,219384,9726,0.010657112642672209,2338,217046,True
2024-10-02 22:05:00,1027,582,0.02629016553067186,27,1000,True
2024-10-03 06:05:00,193212,6955,0.009409353456307062,1818,191394,True
2024-10-03 06:10:00,206165,7152,0.010481895569083017,2161,204004,True
2024-10-03 23:05:00,603,304,0.14759535655058043,89,514,True
2024-10-04 01:45:00,1059,541,0.019830028328611898,21,1038,True
2024-10-04 19:15:00,554,452,0.016245487364620937,9,545,True
2024-10-05 11:10:00,185234,10791,0.005592925704784219,1036,184198,True
2024-10-05 11:15:00,186056,10620,0.0076804832953519375,1429,184627,True
2024-10-05 13:20:00,163236,18158,0.005930064446568159,968,162268,True
2024-10-05 13:25:00,183913,20342,0.0059919635914807545,1102,182811,True
2024-10-05 13:30:00,258693,20204,0.005253331168605258,1359,257334,True
2024-10-05 13:35:00,175094,18280,0.0057055067563708635,999,174095,True
2024-10-05 13:40:00,206640,16573,0.005478126209833527,1132,205508,True
2024-10-05 13:45:00,213596,19756,0.005997303320286897,1281,212315,True
2024-10-05 13:50:00,223104,20153,0.005284530981067126,1179,221925,True
2024-10-05 14:40:00,173690,21374,0.005457999884852323,948,172742,True
2024-10-05 15:00:00,145968,23158,0.004775019182286529,697,145271,True
2024-10-05 15:10:00,525976,23430,0.0045534397006707535,2395,523581,True
2024-10-05 15:25:00,234411,25475,0.0031355183843761597,735,233676,True
2024-10-05 15:30:00,150019,24306,0.003259587118964931,489,149530,True
