time_interval,requests,unique_ips,bot_ratio,bot_count,human_count,is_anomaly
2025-04-21 21:40:00,14,12,0.0,0,14,True
2025-04-20 22:45:00,13,10,0.0,0,13,True
2025-04-21 18:15:00,13,9,0.0,0,13,True
2025-04-21 19:35:00,13,10,0.0,0,13,True
2025-04-21 20:30:00,13,9,0.0,0,13,True
2025-04-20 22:55:00,12,9,0.0,0,12,True
2025-04-20 23:15:00,12,10,0.0,0,12,True
2025-04-21 04:50:00,12,10,0.0,0,12,True
2025-04-21 18:05:00,12,9,0.08333333333333333,1,11,True
2025-04-21 11:50:00,12,10,0.08333333333333333,1,11,True
