user_id,session_id,event_index,previous,current,delta,type
")DK$v<xyVK6-~TJo*vb%}Y:j=@ ,k+jqstH(m~","u.*gN&P!#**2^M9gYnJT7'An4h%z7;3P0.#]Jz%""cw",2,2,5,3,skip
")PE_?,~.h(-p_$WybLqP',3w<f7}Yl*Y'}1{5G",#)+6blUlC('1$v#@PU5t-4Lunh=:.uCoHA35(j@jM[,2,3,5,2,skip
)Pp6a8{fjvmF;{n&{$pY\YQV:)TU$!`9{wA;<t,`|AWqmcGauvrIz=zNdXj.UrQDS{$gXYM6[^Wh@Xj@h,3,3,5,2,skip
)Pp6a8{fjvmF;{n&{$pY\YQV:)TU$!`9{wA;<t,`|AWqmcGauvrIz=zNdXj.UrQDS{$gXYM6[^Wh@Xj@h,5,6,8,2,skip
)Pp6a8{fjvmF;{n&{$pY\YQV:)TU$!`9{wA;<t,`|AWqmcGauvrIz=zNdXj.UrQDS{$gXYM6[^Wh@Xj@h,8,10,12,2,skip
")d;a#6UwPw""]Tmg>tv6`eHcXYr+CbZk%6|}aOX","l = W2S8L^""dsp:THRy<A2'<sBhi?o\ZN1VO_G}i0]",2,2,4,2,skip
")hl#F]\q""b.'Ov7[YNPUpz>H""2=/ClR`> Y`t ","O<iPzCd0j.^{@GBw)d(0x\c+h@;,3 (q7""lBQ7{mpa",4,4,7,3,skip
)n_b(v._/*:|#)I/>U3s;K7=&wU<o#Cy>sI(%f,"pl?I UrUOk+%Z$R)y=-{ /QVb@(f1wv:p*auo,.%]8",7,7,10,3,skip
)n_b(v._/*:|#)I/>U3s;K7=&wU<o#Cy>sI(%f,"pl?I UrUOk+%Z$R)y=-{ /QVb@(f1wv:p*auo,.%]8",9,11,13,2,skip
)uUs)Zt=!AS?ZGcoE;@icc!>o8/tUv*}i>O`Z),f6E%t{Z{%JdqOsu8K0F+|X)ogZq>@QT)_.x5\5 4|;,5,5,7,2,skip
)uUs)Zt=!AS?ZGcoE;@icc!>o8/tUv*}i>O`Z),f6E%t{Z{%JdqOsu8K0F+|X)ogZq>@QT)_.x5\5 4|;,6,7,9,2,skip
)uUs)Zt=!AS?ZGcoE;@icc!>o8/tUv*}i>O`Z),f6E%t{Z{%JdqOsu8K0F+|X)ogZq>@QT)_.x5\5 4|;,7,9,11,2,skip
*+Gc5+K.`=E#kzBm.d)ALVfn/c#)?m/\n9.agj,""",.$/ICQ#gFS9vV}iUg`9X3b=>F]Vm,;x|/Hd9?:3Z",2,3,5,2,skip
*=%S&p4<Fb4t_[xS`?OB6/Vu02^J' XZmX!2b-,"#Co%U^&:{c""""X nQ.scmIXU{F)~`]_e,g6YdfDr4]J",3,6,8,2,skip
"*T}T90rp})xBILE(:YR-^<'j*6p[6R6~"")!UC{","9G%d4]{d\Q^1g\?BnfOqtZRUG<H ?!.*4_ltdW,KTV",4,4,6,2,skip
"*T}T90rp})xBILE(:YR-^<'j*6p[6R6~"")!UC{","9G%d4]{d\Q^1g\?BnfOqtZRUG<H ?!.*4_ltdW,KTV",5,6,10,4,skip
"*T}T90rp})xBILE(:YR-^<'j*6p[6R6~"")!UC{","9G%d4]{d\Q^1g\?BnfOqtZRUG<H ?!.*4_ltdW,KTV",6,10,15,5,skip
*[Dwu\V)NI7ynBgv'uI{.nf@]5.~$}s+E3$b6j,S%e!vsep yNR%%O0bzwj/.cm!myCr_C5wE\`N{x t_,2,2,4,2,skip
*gf0z21bn>6h)N%ps5cS_~7I~9+t'bkb8rtO3C,"w4L#tfwY0zBM,lJs""OFVtYD=Awa[CHq%G|gD5:!L$M",3,3,5,2,skip
*hn.B%}DRb9wTg qgKOw QK3FFi;Xe#}aI*'Ll,8S:ChETXj;lR}[<:O[7K;Ao'F^96|wY@Ibr[Z]ZpYG,2,2,4,2,skip
*hn.B%}DRb9wTg qgKOw QK3FFi;Xe#}aI*'Ll,8S:ChETXj;lR}[<:O[7K;Ao'F^96|wY@Ibr[Z]ZpYG,3,4,6,2,skip
*pjm!z}}B5r@sIphHDHE1-(Tryrsc<mOEU?>F<,"U""C:>};q4CH~[4 ~?CD""0&|t^`enhx3.V[%7CC$}b=",2,2,5,3,skip
"*{VD?/oBh8Hq=""0rCRdq}/ptCXG&-S`Y<YqzwU","Z!jzUxPQ**';GYAR~gV VoXl)Q6O~%Uau""ey_%L3GL",9,9,12,3,skip
"+$HdAa~YCJ|7#PU3??F8L.S""\#(NS[>L,BrDD:","z))_1gBow""&z6~zp9$Jn_QoJE#aCZtBusrT=!l_GX5",6,3,5,2,skip
+.NJ;UO9iZOeZG8]0{JO#Phc{Ma}![9F :v>Zy,",QSq|>P%EV*#Ecq=,hId-%P,{Sd1yu$WBiCHfQZ^?z",3,3,5,2,skip
+F((MF'lEzOgKT{VvM5o;dA|29ZeGBBjj[-@8f,yTuJD7.Iz*HoL\G+CR)][)gsV5j@HyLP:>?$;U]X:l,5,5,8,3,skip
+F|#T!pni$rAOPQ-wLuDxooDsW=;Am^e4.v-+H,"X+xRl56X&EdXXi/WJTe|x,TkgkK^ T-2l'&P_&n k""",2,2,4,2,skip
+F|#T!pni$rAOPQ-wLuDxooDsW=;Am^e4.v-+H,"X+xRl56X&EdXXi/WJTe|x,TkgkK^ T-2l'&P_&n k""",3,4,6,2,skip
"+KEAbY%?Qx`.H{2(ypoh9P{=Z%]*16f8,:D6S>","`{]%FQLdf7u-*>h,F&*zbz>a~j!i;t{4T[wk0;w#*]",3,2,4,2,skip
"+P%VBr)g,[p>""V+').`m1Yly=EuQX2G=mhgeZ>","TQ\`)j0G|k8|V>j]bN*mTK#4,l$Fh\X:gbEFDnuY}]",3,4,6,2,skip
"+d!lcb+E+H5SXpYA]]Hw 9,VNVRZuHn;r~kYg1","ml5*Le1+g/Bw1""~J9SO)6\a:R@xhfKHQ72>q2snh$0",5,5,7,2,skip
"+d!lcb+E+H5SXpYA]]Hw 9,VNVRZuHn;r~kYg1","ml5*Le1+g/Bw1""~J9SO)6\a:R@xhfKHQ72>q2snh$0",6,7,6,-1,reset
"+d!lcb+E+H5SXpYA]]Hw 9,VNVRZuHn;r~kYg1","ml5*Le1+g/Bw1""~J9SO)6\a:R@xhfKHQ72>q2snh$0",7,6,8,2,skip
"+f?a?$n9y9C(c2u`>`K4T3%""OVAM/eZm*?P7G ","59OP7P2  ?~V3m2{Wv)4ZnL-V,)_RVG:7W~P`B~zw$",2,2,4,2,skip
"+i)j9;8tg&-[_<?E@|@[*,3,LcUByTn,p,,ivb","/?*O,NB=x'Ctc=z8O'[&~&QY^tL3({<,M3<?]J=U+7",6,6,8,2,skip
"+kMXd0YeS'@&b 9trRNBc/DvCV!&:}:?S;eI,Z",grSpF6Hu<Qt~>rXY~`w0eLdEE5T\E\V1dU-^RZ%OpQ,8,7,15,8,skip
"+uG]`{5N#i4>`s2at#Kg5|:zKLIL7IMs,Pm$!:","7,1VqzMKw((NJs7A{7`=kQt4xcAi:pN8/dW(r'aRVZ",1,1,3,2,skip
",!3AFsEH:v9P!n(kqEQ[;^!MARqTe3NzSB).Ha","""""lA!%)^~&i#3X4MlBu=[)u+t1GvPx7@?Pin^y_Z<H",2,2,4,2,skip
",$riJA?TXuvuwxZt1m&me~9@E|+g\>KBX;2{""z",mtBr`#Y9E`3vKXT&&K946qLBO#q.PMwE[yTs~w&@vm,1,1,3,2,skip
",,cgSk~7Bia#2'Mcco{SJS@\C}aKg*P>#.=raG",Oc]4PnyU3FN\g0@D[0I\ZG1D_KPPiwTcXl65RgA=)C,1,1,3,2,skip
",2y06$`V$Z#>*Igo?7m;TaxB&gsR""+?hJ;]2l2","iDbPR5d@Fwn4lH<2+/;u:FUj1H)_-H>Et,*?X2%\[7",1,1,3,2,skip
",PZU;bKH#{uApuPPO>s-Rt?Z%QUI-g68tNn{VS","!ElvII !G83z 9ErRO,_,iiJ,X>4e(Q?`|ys!Ud8!L",3,3,5,2,skip
",VOP)mm%f^4EESvK{]>RNmvYsldF>[gU=L2qdh",_o(e}WAr[y#?lg|'b*/#{AO;9{kQ({C[ YD(tx$t`^,1,1,4,3,skip
",\,z@AK=[h4LR AfR{X4@WOMNj>+|Y{&et]jP4","b_#Eu.&/MI[8)4:WDkm}W?HV-1 $,p?U&. 10L\fq-",1,1,3,2,skip
",`19Lt/(AEpB[i;!g$6_H4^O,?M`9AF_p\+p[)",EU5$.(PP6_&(0}j6+!>B:r:E&ITk[-S-'1U+0idwN$,3,3,6,3,skip
",cRhBq:wkqjG!tDHA&jT*Q@N%Y=0yuuRa8l9{p",5^}/y<%>qpXo!zZI>:C!xL]UMu?_P}Y~B>|+5xY&i\,1,2,4,2,skip
",n$yjrO^z-M]]Q6jg,}1/.q.@yz8g57\FQKfC*","Y'?J%\J\'46{k<vAZza`2J+]e_`OW""bwE`E5^&om -",1,1,4,3,skip
",x0L.v_Oq/8ERC3jPLaH)p,Ntj|Q|.~-GW}7""8","6J1<Y5XRL^)YMb((Z%)xk@T^?pq;|Z7""1>9\kPS3:t",3,2,4,2,skip
",}bA,2udZvs vc2*n\L>Ja|fA+amsx6""21*Z't",L6qb;Ceu>=w>cu3]:r2UKC?Kf}6$e{HY%Fxa%b:8;0,2,2,4,2,skip
-%[h;fN6E32mwf\K&#fZw2Zl.gQb6p[]K0jM/w,"^1""K</:=?nA!^JNC9,+^v/Q[dM6V||=`USc|a+VgDn",10,10,12,2,skip
-%[h;fN6E32mwf\K&#fZw2Zl.gQb6p[]K0jM/w,"^1""K</:=?nA!^JNC9,+^v/Q[dM6V||=`USc|a+VgDn",11,12,11,-1,reset
"-:As[:2^H[.! iym}7@uD?jB*oHD$.DFXq!""Lx","rAF~G-UJao-xUv*wmpMH1?7TR=+Fo =[vspX""ZM[)^",3,2,4,2,skip
"-@I/.:z(u%? *fxF~h!8,/D9`On-UZ/IAuy*OQ",HY%yOvV9'uH^L=aNhNq1KlX6j<#pfJT =x+zAHveK.,1,13,16,3,skip
"-@u9C;|\|Ac,.)$BW)&TK;V""O[6tTgg#x,x>M9",S$Bg]-<4!Ot{ilhb'Hlc$ Vx~C7.e@kQKVN)@VT<l.,14,17,19,2,skip
"-@u9C;|\|Ac,.)$BW)&TK;V""O[6tTgg#x,x>M9",S$Bg]-<4!Ot{ilhb'Hlc$ Vx~C7.e@kQKVN)@VT<l.,15,19,18,-1,reset
-N5gYF&-!y^D)Ic+iI]{{7i1QX _aKr7D|l=<},"~$_Ztjd@4D^0bxTdD}8l2p""/g(L9,q>Mf:\h{%<_SG",2,2,4,2,skip
"-U-*)TX.""'.5>31dC?.%ieg!M:Z=RlG[NT@~""1","#eC`Z~wawj9R\rk+Mui>E}$rcs0;}u`Lio:u""J@(Ca",3,2,4,2,skip
"-U-*)TX.""'.5>31dC?.%ieg!M:Z=RlG[NT@~""1","#eC`Z~wawj9R\rk+Mui>E}$rcs0;}u`Lio:u""J@(Ca",4,4,3,-1,reset
"-maG8J]?JN=X+5T+,e64uNe58(C4Ce'Hv?VJ]d","C;@<p%fb+I|kX?{]uUvwG""KkU""<Y_E: 2wk]`a11gk",1,1,3,2,skip
"-ugKtUSo>,(-$K6=b{)fg$e-(I/aY~+wDy[~d9","Q6D^~u""3ioM^E^6h%vL6oH*Q@qpvG7!7WtG#O!#e&:",1,2,1,-1,reset
"-ugKtUSo>,(-$K6=b{)fg$e-(I/aY~+wDy[~d9","Q6D^~u""3ioM^E^6h%vL6oH*Q@qpvG7!7WtG#O!#e&:",2,1,3,2,skip
-|H`pD657V<}sMT$Ps?#I_@kS6}5;)k7Hu$$De,"&kL&*}""L4i9J/Xx4]^[J3zXN+w<qRZ(eQH~W6p{?~7",2,2,4,2,skip
-|H`pD657V<}sMT$Ps?#I_@kS6}5;)k7Hu$$De,"&kL&*}""L4i9J/Xx4]^[J3zXN+w<qRZ(eQH~W6p{?~7",3,4,6,2,skip
". `LFOn!.p;7jX7w0urNub""_EJ4BwiI9B%l`lG",J1O=}T@Q_5uk2HdeoO=[_Jfq<}Q.y3kp!5DC0`Vz}(,1,1,3,2,skip
".#JIq1x02IeU,\PNbo|u\>?@sj4KcT}C4g%(>L",AxbXz?$gB(`pxM-+Jm;|4UGE/=1O5\`I?BdOMB<p(+,1,2,4,2,skip
.$Wc:Cnw[[?[5pH5[CW^&S-&%*nV$e*E86bhu0,"R|w|w+eL@\5zFEprtsR+)/Og""7kV[K@UGIA7@q>^]l",3,3,5,2,skip
.$Wc:Cnw[[?[5pH5[CW^&S-&%*nV$e*E86bhu0,"R|w|w+eL@\5zFEprtsR+)/Og""7kV[K@UGIA7@q>^]l",4,5,7,2,skip
.'v0oq>T^#`'g3X=bJ3wa/A>V3}=!1E;:K;%C4,"]*mxHbN?""nW*o>fD`L_sn@/UN40n{jz)2q#MDgd0 >",2,2,4,2,skip
.(-eX1_Tp]'E=|i>v7Ri8Ke?)7tVIj-u4C%kA{,vV_ej\+S+]p^V9yRpdeo1KikKU;k?^sw5{0T.v.-]^,2,2,4,2,skip
.-C&ApUlstEoCXq}la2E(ndJjTxf\f@-F6NVau,UaYFEego P].Tn\oQNfeFon6|+Jv@Z4T|~J6Bp0K5J,5,5,7,2,skip
.16*:8:1|>&==U[U_'78/62`XK:{2bpg>y=$o3,"ql+7*""5FraA0W+-7(N""Sjn/5X=ch;.R@SaIOys?{X,",5,3,2,-1,reset
.2U\qAz)unHuS~An\(thUAxZG@9[QV-Ir9[;!M,"w0k/lC!46q+E\4oXG 6.Bg9""v8'm_eq&.Ys`<m)H>X",7,6,8,2,skip
".5([XC]8%H{'18(_,_$yY0b,Xq?&O,m"";60Y6S","M2s!{ib8TopmdVSbPV$By&nXFj8_c!`#&,2^P3,}%-",6,6,10,4,skip
.7{f?7.UgA0v7L_x*bE$I.9jIXg4hk#}2oRHe#,"37wjsx;rjeE,vAdlv:\Mrf0hKk\vRbvd:V~bh#.zI\",2,2,4,2,skip
.AcsE`mw10$>!t^}c!A&#qd-o?Fjh+uJ3c#g+j,"&o,FEOO@>FY2bY|#^B0qJ{]p!)IS7Tmn2 PqY.m$vC",2,2,4,2,skip
.J5W^'!W;Pvw7;@gWvOMA<D*NjZ5958ElA~43<,<Y4d5'_yP|8\r(q#+;1~T/#sK.TBvGEL^8rspx_:4],2,2,4,2,skip
".Upi;Un$nR3l{TDotzb^|( O}Ll,Q7|5H\c:38","6yKM9Tn!fKv+7Rki@w8<,F(dvyr\~0brW>qvC#%7WP",10,5,7,2,skip
".Upi;Un$nR3l{TDotzb^|( O}Ll,Q7|5H\c:38","6yKM9Tn!fKv+7Rki@w8<,F(dvyr\~0brW>qvC#%7WP",11,7,6,-1,reset
".Upi;Un$nR3l{TDotzb^|( O}Ll,Q7|5H\c:38","6yKM9Tn!fKv+7Rki@w8<,F(dvyr\~0brW>qvC#%7WP",13,7,6,-1,reset
".Upi;Un$nR3l{TDotzb^|( O}Ll,Q7|5H\c:38","6yKM9Tn!fKv+7Rki@w8<,F(dvyr\~0brW>qvC#%7WP",14,6,8,2,skip
".VYb~tYyanUk*K,y(p `JTMURp*Ff0{qw?;oA)","4&`%iG>m|vH79r%&gl )~*{<#j`LBt|{,8z)q_ H6i",4,3,5,2,skip
".Z:qd'CE7^""_X6F_uP9E?EZ^uI<}.} ""-ndP7b", :(z];<%]4w^EI8pi@]kg[s!zy*BmSx%#FIQ4s[oJm,4,4,6,2,skip
".\SE/y[;7REHUPaQhw;nA(Js9i&t-5O9M,57\S","_RH|nRfstnU6T&UD|\yxiJ41fT"";`xmv'<6fxsg$Fu",1,1,4,3,skip
".wW/y=MS#gd""92^z6""h>\HC{NE+d'sqb*|A7-=","H^cT v8~#,c\mtGG27n~|+Dy:5Z:\?7I=Hh&9_C0<3",3,4,6,2,skip
".|7YBcZzA/7{.?e6|Q""bb/Q]+`mVd|??IM(H$Z",o1m?3hy{NcI<`VKwJr<c=7|4EnaVs[(]JF!y(5v3T\,1,2,4,2,skip
/!/&#_Qo(K>}hru+dyI7iVaQjj3J/r:HgelBFV,"V0VzNZ^Gb5)'TNYp4z0&}2UkoF0{`I|'*5hOpr""~l-",1,1,3,2,skip
/%Ycjtp^8C?w~j59XL/5.24t2(H#)g)P(uPlX],|5~jW8IXuiE1OAK9tuPe: YW}aQUIXLvawwjF-7)AU,2,2,4,2,skip
/38>je $8f}0Y:<;p>uk.|b1|[ =G10XC;^i+#,ujMrlQ0MTl7;6o9e}<h0]Q5g;l\]#+r59[8MJ#Itfb,1,2,4,2,skip
/A/I_581X[XSi#~%L-UlaX(6j#v8ON+rh@EPht,EZ9Y0_c(0llqTMdw8owBoj.jNuESCbBr?0rZjHbHpC,3,4,6,2,skip
"/Cq+k-}x~FE0_Q^?Cx%St,_3Q;#M2v*9$@cC=3","`WX(220FQ]?ve;he-(f3i{T""TRuG,F$wVa^A{\d?N>",4,4,7,3,skip
/F+3.6!^t%YgWYzYkYL;&3qRz1AHNo<8[C$r1!,R\6 N92rbf~*b*cPC*sV!lz|\'I:`EQ] |^Uh]vhdZ,2,2,7,5,skip
/JH#s07-<zf?l.o*Tc^5PZ9`>#^R<8R3yyVJxn,$)gKL|`prp<NC6p?iFQS1Km7QIT*kE47W(F*J~H.7m,1,2,4,2,skip
"/cGWWHBkW[r_8v,pLF[M?ED1tjX8D`?Z6|TX?f",".JVh0&z&^&GAfVEh&%pOq(94@_+IHY?>yD3jF,\y=s",2,2,4,2,skip
"/{&1=x4^7`H,l7d%LUZBvU}UFoS;^Mc2E4aL`<","8g|c8""Wyo)<W~OF<tWY_sG#34sDjYn>sV,Il]XYErL",2,4,7,3,skip
0$DpR$'~}+63a!hvz{mj->3R+@g^0_9(c6~2jJ,@n/N!p MH%P_9QAmgq4^=TM%sjFVvBfe8fYotWL7m1,2,2,4,2,skip
0Fyi%;#oYayG26 Q o>S)R9QCBC!!K_Z#i<7gf,dDH3!<_`grB<.{<\p9QV7}sA))3q}ulaE<$gz>49}?,3,3,5,2,skip
0Fyi%;#oYayG26 Q o>S)R9QCBC!!K_Z#i<7gf,dDH3!<_`grB<.{<\p9QV7}sA))3q}ulaE<$gz>49}?,6,7,9,2,skip
"0JoD{d_tORD~*t^_VLO,W3,>lP\AK&h`n7Mr\:",FBRG*\ELy?I$#[`R(CG.Q{L]]9YoAN9n#{`iWSP4H$,1,1,6,5,skip
0L;d_b4Y)D<#^_<&T9VN~EfR%1B*uaU %%X]uC,`#z<xhr$~42>V!3owb7OZn`GU{RIS@?}DFXa(o|v&^,2,3,6,3,skip
0]@3q`\*YQ-&?{veOL |Rn:9#50UUJUS$WFd)Z,"![Xug`L%Va^/8#RkYzoRl[^$Zom2#crh_g""1XNV)""g",6,3,5,2,skip
0`mi'70#Tb{tD4>W&-)pk-{%;F[+>I^gqt$n/},=xaTi-`*dH9L~K:c_aT1*PY=<fPAg$Gg*ZT%tFJ(Y},1,3,5,2,skip
"0fM,O?Qms-(Loi6u_dQhgem}q,_lqH{b|6=^K%","MgX}FYuz,-v\ \sHMC9BT4A!6o0ShNym8Z!q|/PCx_",4,3,5,2,skip
"0o""~#}v|=SXq6}Vuy<L&Shs#9rStO;TtR&|']x","1^YA[w1nH{geeev_p,8/PpAv{'Ra@P5YCP=$GjNf>e",2,6,8,2,skip
"0zh$LWS;Hgw)&QEqF;|=a?@EH""8z(7I<y6\ASm","cyv(vph@_PwOMF$ledS&(Pc E""?$4*OE{`i_>""Ko;""",2,2,4,2,skip
1#.^K=$nv{LO%gLIS7@%n{ed}RIw8^eV94Hdi',NKp%q\aeJcmY8H `dQ*wZo?Wy*3~u4&78PN+<}O4aF,3,3,5,2,skip
1.]Tz)Deje9vqZ*%+h.6r&Psuhx4E|{V`KSjdz,384{i2.-`#LM BmWbW2'266Qn$fBJP n&#vxn45~)8,3,3,5,2,skip
1.]Tz)Deje9vqZ*%+h.6r&Psuhx4E|{V`KSjdz,384{i2.-`#LM BmWbW2'266Qn$fBJP n&#vxn45~)8,5,6,8,2,skip
"10$.!12,Yw-$f|ws}8\Zd8P?a6>Z2O*kFs-$pS","-8uc:{?cv,nrc;1X{4`=^SW\.h.d#(k7P!oXQfTVjd",2,2,5,3,skip
16Y:YBq|.NFo#>Wov&n><<\:$Wfo`Nu\><L7EQ,k$c$)G=pr!5P<Mdn9 [n?70Bz l1T$79EC1iCNXE]Z,1,1,7,6,skip
1?<Z.~Q5IGaMc'/()}D@J_Ha8(wl+7%bw9WM+S,"z|x$*Pk5@9(eTZMK=C""l)\6%r;/^hI8yF,^?M\s.2d",2,2,4,2,skip
1@)V?gnNZCW=`O9vhLHo&~rRj3sfcFgqGG_(R$,C&yJ14g:2F]6/8qJ]kGn%m^Tns}cuEDn<k RZypW:g,2,2,4,2,skip
1C=VY02Jo<ejn5W>e4}HxhemOkSjN\*1twTt~%,"5(XR4)#LfSwaohes,d&T>;x]SF:45pOtMKc!m(u98-",4,4,6,2,skip
"1Fl<&rG{gg|w""gFDt{m[."":B<A?zx*bAP%cPQ@",HTLmZP8Wz0yY>Au>(`ZL%dO8bXx_ -LAskNY[7Z6^O,17,16,19,3,skip
"1I30^0pzx)53:<j!p`C@R+r7m_l;d,v""+d[nTI","'}AG$J_jHsn=wBsz`q1qAt;tGhxGvrl@)qN[',Q[H:",3,3,5,2,skip
"1I30^0pzx)53:<j!p`C@R+r7m_l;d,v""+d[nTI","'}AG$J_jHsn=wBsz`q1qAt;tGhxGvrl@)qN[',Q[H:",4,5,7,2,skip
"1^,d{&o,?ep``J(yEx3O{DdQu+-e&=RN+R>foo",SZ_GPH_:lX{.x{LwFH1XJg72t)9)G nL~T2y{-{&8R,3,3,5,2,skip
1i_ye9vu&N 2a\2]p<EuYY~jq3T&+v5M0Ft}eI," p:2.+C|&Zm{6AM%@`cki}RZPm-;K,e44`E""7@eN'I",2,2,4,2,skip
1i_ye9vu&N 2a\2]p<EuYY~jq3T&+v5M0Ft}eI," p:2.+C|&Zm{6AM%@`cki}RZPm-;K,e44`E""7@eN'I",3,4,6,2,skip
1k&^.<b$<4KnB@cop_.}{${}}IA+>hZCK{xh$?,";+`I\|CHlCC4tXhY],r6d.)A>Z<\Pr$$8!olghM{EX",2,2,5,3,skip
"1r5K%:RK:"">r0N](>~|tRs=N z6A_LNOHHoW@0","grBh]30<H}D""a3Coo(AyDLg[8hl~<-RJY!T5@rqRiH",3,3,5,2,skip
"2+),IRT.?b9{M\oM%:""~`e{.3Tayz>-Wp'|F)Z",cp>?[!+/icl~K x;VLMn}gmu9A4y8YGgJ;W^/g[.:g,5,4,6,2,skip
"2+),IRT.?b9{M\oM%:""~`e{.3Tayz>-Wp'|F)Z",cp>?[!+/icl~K x;VLMn}gmu9A4y8YGgJ;W^/g[.:g,6,6,8,2,skip
"2-a%d@x""p$c-X0Zs@~}`GOr*106I),6R3%1Es$",",6l4!nq`i~W>=|s'&AdsAF8i]m1Q=XEX[9Ni`tfMRY",2,2,4,2,skip
"2j;`:{?9'37&},[.7_.kSH>n$4sZ/x{Mt""uKC_",">q,=_-BcY2k0xSs'\k%%F4~?TDRBrj;dk:_ME29r'^",3,2,4,2,skip
2uZ!r-OqDm>Aai+B{UH9xrgzg1*D(]r6Ldb%5/,G5y9ZZ>YhQp*gOqZ]pHLaSo:rx(i{&0|z=qNnDU]+J,1,2,4,2,skip
2uZ!r-OqDm>Aai+B{UH9xrgzg1*D(]r6Ldb%5/,G5y9ZZ>YhQp*gOqZ]pHLaSo:rx(i{&0|z=qNnDU]+J,2,4,6,2,skip
2wJJExIf{!A?z%2uaHGVYmU|g\-C:\x*bYu&{[,GxJ7r|Z/`<_3WF#(![?;mS]-Zg(]W)Mp;xh\o:lzG^,6,5,7,2,skip
"2~;:7d,3UHlD=/Gta&G:uUmMv!:FaG>Q{0$C[l","pbT,s:p`3~\fy;{PI~C(<cM$wM5I"".=E^J(pL<NF-V",3,3,5,2,skip
"30<""7[D[()R$c""`LqQ5^]vY2Git,0@F2}):&Ij","Mbh} q%>b ]@'\OKWkk/6&'OEu|""Rof#LCJa?IPC&$",16,15,17,2,skip
"32%""Q9A]`[]lSCy]L qqD)XA#f%ec`9L4$tW=v","Jrjhv'WIP:Zx!4w8AhZeD4@K62~l?<(@""]*Fr.Ge3r",1,1,3,2,skip
"3[QoS#(0s#7[C$~47ON[7+1B""s<2@WHg:z+*NQ","iC{""=j_C7H6RRxWavs#z""s& rCcUya8'Q;;07S7|%N",2,2,4,2,skip
"3e9_zsCNeNNS""W*0^g9DauOYfhiVv1pmkdKtL]",":Dnc%(n8^u8q?&^SHL'W%\TfX#f@y)""7--Qmqgc8cZ",2,2,4,2,skip
"3u[Dvgj""7@Ok/'So;Tl7!d4Rr+]4w/-MX2P0l&","Y&R3g_*]*l""GEcE-n&SrsV>]>~<Dpxgy./Qz&$B&2d",3,3,5,2,skip
4$T`={74?B qkF-#7;o!^:^J]f=[~sFr$yREft,".o,3f>6jQ4=1lyR_[3*WBHXxicoz#<D.uw3RUe(5Cd",1,1,3,2,skip
4$T`={74?B qkF-#7;o!^:^J]f=[~sFr$yREft,j*{s(8:Yxr1}:N=>Fl)+^ fmhVg94O8i|MMz{(TvH/,2,2,4,2,skip
4*#.>>B~V@O<r0bYwR5%y)#+%/HEJ\$9rz94$h,6XJ+/C[_V2QRh0rlcYH)D5*/wInCTD\miJ&.Bp;)GX,1,1,3,2,skip
4-EggcIp~F$i*@wNop=4q42C?8YDu#9d(Q`<8b,"HFJnA1eW`-sbRk~VkT==b>UBlen""A$w{VH=)t=A1L;",4,4,6,2,skip
"44xs>J#WI0,m1~RpO""#pa!va?%X&ycQTM.caUN",sN(Y+|5;Y~_v$-$rS$#Dx(vhBC$5n?T P~W)VgeOcJ,6,3,5,2,skip
"44xs>J#WI0,m1~RpO""#pa!va?%X&ycQTM.caUN",sN(Y+|5;Y~_v$-$rS$#Dx(vhBC$5n?T P~W)VgeOcJ,15,13,15,2,skip
"4C|adRf)Q'|]2nR?-[^ZAUIZK,Bf:k;Vo[xH@N",",pJi|D5 b3\$PcUNa:~-""A),7%?VE[g<pJ8id:kFq{",2,2,4,2,skip
4T:v?w$g]&Zd&8/7u*!!f:$2[|:9Q5S9>VQ}RQ,"Sm@{%bQ![2m,<>?<|t;)j^f3bRFtiZ'6BP^&x7{|-G",33,31,34,3,skip
4XO)LGuvkZu~%0$FA>H$\W:JZu]6IClph*Urj~,3HxeQ!?_O[mZpES>(;!_Fz^~(WVhL%.)A5TG\$P^nH,1,1,3,2,skip
4Z Lqec xG^!W*v}<qGtK_c`\&KRa!W@{K#_}g,"\QhaOMAy7>k&d}XPee;VrWCc =]O;EpWe?)""+BQkp|",3,3,5,2,skip
"4^K|_Hv-x$wt4I7<lAV,G^fdYwvCJlUWH*--7'","#0S:FT87=?`|0[OfooA,s~z=|s%c5saB\4QKI{1?U<",1,2,4,2,skip
"4^K|_Hv-x$wt4I7<lAV,G^fdYwvCJlUWH*--7'","#0S:FT87=?`|0[OfooA,s~z=|s%c5saB\4QKI{1?U<",5,7,9,2,skip
"4^K|_Hv-x$wt4I7<lAV,G^fdYwvCJlUWH*--7'","#0S:FT87=?`|0[OfooA,s~z=|s%c5saB\4QKI{1?U<",7,10,12,2,skip
4gd?nP%!UiU!/.?m[LT%SIknP1b@uS+:*QJID?,RzQ/;sWsZ' $@h}llu(<s1[j!vps=PBaO6Z_^XuS#$,8,8,10,2,skip
4ry}w7f ~-E#g=[y?LVFg;(!)YR5}k5gdo2 57,"""9KoNuPGO&BxD)L;bkq'L*2Cv[}^1F*C8nj(,w`!>f",2,2,4,2,skip
"5!IPBz:L X7Df 5y>L.|31^N`[yef?nb, c|c-","C)Scmk}@xf0,_#RdweCl]D8({Mx9ILm!:H>jgVO:J?",1,1,3,2,skip
